timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
34666743,0.00062906486,0.0047242693,-0.0041317306,4016,0,0.033669975,0.2432305,-9.891691,3946,0
34670915,0.002801341,0.000802842,-0.001986515,4172,0,-0.05500067,0.22343658,-9.883683,4016,0
34675041,0.006373736,-0.0015998316,0.004482932,4126,0,-0.048668895,0.19884413,-9.734662,4172,0
34678614,0.0075725713,-0.0032410643,0.006457627,3573,0,0.015472568,0.2501468,-9.634774,4126,0
34682927,0.0021780375,-0.0025221196,0.003383702,4313,0,0.041020963,0.29348308,-9.80533,3573,0
34686612,-0.0031613784,-0.00095525954,0.0041175014,3685,0,-0.013099704,0.26958638,-9.843229,4313,0
34690831,-0.002662887,-0.006677926,0.007096301,4219,0,-0.0030072872,0.21134402,-9.681174,3685,0
34694613,-0.0052593923,-0.0059637185,0.0074363444,3782,0,0.020205583,0.23206496,-9.633564,4219,0
34700070,0.0015012057,-0.0034468279,0.0020214678,5457,0,0.04286073,0.2157071,-9.756002,3782,0
34702536,0.0067614554,-0.0022949998,-0.0060595297,2466,0,0.03728662,0.14230168,-9.843273,5457,0
34706535,-0.00041132033,-0.0022352203,-0.0026605434,3999,0,0.05316249,0.21739247,-9.807272,2466,0
34710615,-0.0025049408,0.0019212164,0.001583522,4080,0,0.049664475,0.31542385,-9.879961,3999,0
34714626,-1.8596927e-05,-0.0008122857,0.0015693894,4011,0,-0.0050110887,0.22976486,-9.780742,4080,0
34718525,-0.002583073,-0.002109338,-0.0032855992,3899,0,0.0628441,0.15908977,-9.798317,4011,0
34726118,-0.0036216802,0.004665652,-0.006538289,7593,0,0.06826733,0.22163445,-9.9734125,3899,0
34730528,0.000384907,0.0019264565,-0.004401415,4410,0,0.023569917,0.21514647,-9.950368,7593,0
34734516,-0.0007829698,-0.0018516683,-0.0045018718,3988,0,-0.0058387853,0.1714878,-9.806786,4410,0
34738526,0.0011319488,0.0020517712,-0.0051406,4010,0,0.015170705,0.1953765,-9.699692,3988,0
34742636,0.0049609276,0.0072515337,-0.00024620607,4110,0,0.073804826,0.25721693,-9.711737,4010,0
34746614,-0.0018967891,0.0066619255,0.0020273472,3978,0,0.037603237,0.309754,-9.766079,4110,0
34750663,-0.0070407595,0.0033703523,-0.0016055702,4049,0,0.045218505,0.23580658,-9.734293,3978,0
34754474,-0.001563083,0.001945292,-1.2816969e-05,3811,0,0.09499942,0.17583601,-9.628908,4049,0
34758522,-0.0007599941,0.004508413,0.00463303,4048,0,0.06264766,0.25026235,-9.647945,3811,0
34762973,-0.0050968896,0.00479813,0.0025451034,4451,0,0.06710086,0.25937745,-9.6967745,4048,0
34766899,-0.0051897145,0.004238692,0.0006317159,3926,0,0.04279262,0.23544464,-9.696656,4451,0
34770935,6.102031e-05,0.0026824938,0.0016151689,4036,0,-0.005821418,0.19666317,-9.727182,3926,0
34775025,-0.0009190854,-0.0024343699,0.0006056566,4090,0,0.03174312,0.17300662,-9.870273,4036,0
34778851,-0.0070986296,-0.0044441028,-0.0007425529,3826,0,0.078984454,0.17775324,-9.799174,4090,0
34782839,-0.0077771894,-0.0040060086,-0.004736806,3988,0,0.039378017,0.19878432,-9.782656,3826,0
34786955,-0.0023815692,-0.00083572144,-0.006188617,4116,0,0.0067820926,0.22009857,-9.793164,3988,0
34791055,0.0028581573,0.0042378213,-0.0020565335,4100,0,0.06707999,0.24814247,-9.802626,4116,0
34794810,0.0015129736,0.0032934695,-0.0031108866,3755,0,0.06087443,0.23010218,-9.945987,4100,0
34798811,0.003203901,0.0014197386,-0.0036885538,4001,0,0.0041815825,0.21788839,-9.782193,3755,0
34802886,-0.0019928017,0.0015719627,-0.0034842172,4075,0,-0.032558724,0.2403762,-9.72983,4001,0
34806896,-0.0038432325,-0.0025087465,-0.008401183,4010,0,0.0331172,0.20301841,-9.896591,4075,0
34810890,-0.0039115795,-0.0068737296,-0.007887346,3994,0,0.06479702,0.16437377,-9.889977,4010,0
34814620,-0.0017046502,-0.006779257,-0.0027130994,3730,0,0.0077016805,0.16396052,-9.755127,3994,0
34822530,0.0054977573,-0.0053436705,0.0048326976,7910,0,-0.010221993,0.18436202,-9.678769,3730,0
34826522,0.006410953,0.0026058836,0.006885733,3992,0,0.01801448,0.23077779,-9.6739235,7910,0
34830617,-0.0005780866,0.0071586343,-0.002033026,4095,0,-0.011614464,0.24068259,-9.656988,3992,0
34834533,-0.00065992796,-0.0023711082,-0.0013630278,3916,0,-0.056625534,0.25197816,-9.641007,4095,0
34838511,0.0036096147,-0.008691958,-0.0004748108,3978,0,0.011578824,0.22314838,-9.818854,3916,0
34842502,-0.0031428146,-0.005702766,-0.00022176423,3991,0,0.022184135,0.18123782,-9.905525,3978,0
34846501,-0.0037885213,0.0018483466,0.0066453954,3999,0,-0.0036022235,0.26381153,-9.827479,3991,0
34850621,0.004034353,0.0032914195,0.002880164,4120,0,0.036087036,0.22289377,-9.736292,3999,0
34854520,0.005460217,-0.0013219788,-0.0029740173,3899,0,-0.0065366738,0.2185458,-9.762138,4120,0
34858446,-0.0020360867,-0.0005280266,-0.0014399713,3926,0,-0.014176033,0.29885644,-9.920018,3899,0
34862619,-0.0024408689,0.0035139697,0.0011772432,4173,0,0.04508297,0.22571635,-9.832125,3926,0
34866491,-0.0037106297,-0.0007408939,-0.004027752,3872,0,0.011220116,0.16031227,-9.78608,4173,0
34871012,-0.0015523122,-0.0062255277,-0.00847381,4521,0,0.024131289,0.16838326,-9.91234,3872,0
34874620,0.0033179515,-0.006398773,-0.003381657,3608,0,0.028857525,0.16700993,-9.882273,4521,0
34878598,0.0050231162,-0.003965426,0.004301387,3978,0,-0.03729106,0.18532518,-9.717217,3608,0
34882290,0.0022703914,-0.0032594719,0.006768622,3692,0,-0.0032815598,0.16006587,-9.723388,3978,0
34886496,-0.002917822,0.0016831048,0.0037302105,4206,0,0.044562448,0.21799459,-9.908253,3692,0
34890523,0.00028224947,0.008088933,0.0036776948,4027,0,0.0589091,0.22607388,-9.960847,4206,0
34894555,0.005518438,0.001919195,0.0065982845,4032,0,0.032872993,0.2236735,-9.830286,4027,0
34898461,-0.00025156513,-0.0028941394,0.0030710015,3906,0,-0.008187719,0.22339112,-9.847836,4032,0
34902454,-0.0081949,-0.0016945929,0.0044093793,3993,0,-0.015632577,0.17736965,-9.804573,3906,0
34906476,-0.005066701,-0.004315092,0.0043085846,4022,0,0.010884004,0.25180718,-9.704662,3993,0
34910524,0.00043938548,-0.0072603845,-3.7197668e-05,4048,0,0.018491648,0.29897693,-9.694585,4022,0
34914248,0.0045754774,-0.0052873427,0.004601104,3724,0,-0.019757241,0.2809154,-9.722288,4048,0
34918250,-0.0022607043,-0.0064694406,0.0023462186,4002,0,-0.01230402,0.24534684,-9.760331,3724,0
34922305,-0.008247036,-0.0038915726,-0.005121912,4055,0,-0.0075159036,0.24115893,-9.672594,4002,0
34926174,-0.008151719,0.0045122756,-0.0037278398,3869,0,-0.03369811,0.25465062,-9.687456,4055,0
34930219,-0.00713281,0.005519516,0.0035084533,4045,0,-0.016504154,0.213203,-9.72289,3869,0
34934137,-0.0022914184,0.003973977,0.0035668209,3918,0,0.06913982,0.14946853,-9.851935,4045,0
34938175,-0.0019020607,0.00054658897,-0.002353277,4038,0,0.08744036,0.16387808,-9.898569,3918,0
34942208,-0.0068284874,-0.002967185,-0.0052158656,4033,0,0.057693463,0.19882621,-9.720711,4038,0
34946107,-0.005291285,0.00093695783,-0.0067588603,3899,0,0.024437264,0.17984504,-9.749941,4033,0
34950164,-0.00078682345,-0.0024438521,-0.006035558,4057,0,-0.012459303,0.16301931,-9.817864,3899,0
34954224,0.001585332,-0.008834768,-0.0032120612,4060,0,0.044072546,0.16574436,-9.725241,4057,0
34958158,0.00053850544,-0.0010073304,0.0013107428,3934,0,0.09531733,0.18375336,-9.761728,4060,0
34962117,0.00074720633,-0.00017932717,-0.000362105,3959,0,0.06606677,0.2605413,-9.820808,3934,0
34966216,-0.0027586706,-0.008321175,-0.0053680195,4099,0,0.031786703,0.31753802,-9.77221,3959,0
34970165,-0.006015613,-0.008388784,0.00027367251,3949,0,-0.007674847,0.3149368,-9.802145,4099,0
34974175,-0.004133891,-0.00047560484,-0.00023015423,4010,0,-0.037930753,0.29696262,-9.919701,3949,0
34978234,-0.007173141,0.00012778823,-0.0027162062,4059,0,-0.054462045,0.25017253,-9.847109,4010,0
34982236,-0.007812829,0.0013778339,0.0040561543,4002,0,0.014334936,0.20578523,-9.812134,4059,0
34986191,-0.0040257075,0.0017924769,0.0007222133,3955,0,0.085424066,0.18859975,-9.88651,4002,0
34991335,-0.00027593627,-0.0079433955,0.0025590227,5144,0,0.07252215,0.19890225,-9.83105,3955,0
34995332,0.00025400342,-0.010160893,0.009026021,3997,0,0.054562848,0.18438594,-9.9256,5144,0
34999038,0.0091229435,-0.008695506,0.0056891222,3706,0,0.004733661,0.16207534,-9.932843,3997,0
35003220,0.019149413,-0.013721573,0.0012743352,4182,0,0.009809099,0.15464477,-9.973596,3706,0
35007054,0.025747266,-0.020474881,0.005273748,3834,0,0.08156161,0.15854503,-10.145103,4182,0
35011220,0.033076923,-0.028802019,0.007739907,4166,0,0.06772651,0.23984389,-10.225632,3834,0
35015020,0.035692327,-0.0336807,0.006901053,3800,0,0.049579985,0.2955902,-10.252434,4166,0
35019106,0.03694018,-0.035485644,0.0072078994,4086,0,0.032107227,0.23664144,-10.3089905,3800,0
35022967,0.05108148,-0.033444855,0.0010170988,3861,0,0.03779362,0.21179894,-10.453079,4086,0
35027771,0.060714934,-0.032233007,-0.0028996945,4804,0,0.0053037927,0.18112886,-10.39234,3861,0
35031063,0.06610838,-0.02867991,0.0007756277,3292,0,-0.028891265,0.20290895,-10.456658,4804,0
35034949,0.080326945,-0.01797116,0.0057549207,3886,0,0.068401046,0.21922468,-10.5756235,3292,0
35038901,0.08952685,-0.01798135,0.006906499,3952,0,0.027785309,0.15396573,-10.691605,3886,0
35042959,0.092305854,-0.015684921,-0.00085411756,4058,0,-0.06163763,0.18501708,-10.890133,3952,0
35046974,0.09420125,-0.0076535544,-0.0001997394,4015,0,-0.07418095,0.21505691,-10.950093,4058,0
35050923,0.09857532,-0.009888231,0.005868601,3949,0,-6.4726926e-05,0.19359843,-10.818681,4015,0
35054946,0.106529154,-0.0070165945,0.0017550602,4023,0,0.044203117,0.16335776,-10.746049,3949,0
35059540,0.10237262,0.0065159695,-0.0023426204,4594,0,-0.034253333,0.17531589,-10.696951,4023,0
35067257,0.083639234,0.004891646,-0.0021315827,7717,0,-0.0566794,0.1861231,-10.567516,4594,0
35071073,0.076137416,-0.0036720266,-0.0014757132,3816,0,-0.024088128,0.20314468,-10.383909,7717,0
35075072,0.06360734,-0.01634939,0.0037673793,3999,0,-0.008075595,0.17493162,-10.314097,3816,0
35079088,0.058063976,-0.028400619,0.0041514784,4016,0,-0.040024016,0.10403461,-10.401375,3999,0
35082965,0.057467464,-0.03268462,-0.0020882003,3877,0,-0.055801757,0.1248284,-10.326921,4016,0
35087234,0.052653804,-0.036583886,0.0001174523,4269,0,-0.037905913,0.14452676,-10.328138,3877,0
35091296,0.054142457,-0.03805157,0.0054168906,4062,0,0.015645737,0.1366046,-10.306144,4269,0
35095308,0.05350301,-0.04162671,0.0018390822,4012,0,0.023599038,0.18925208,-10.345822,4062,0
35099035,0.064086646,-0.045989126,-0.005384174,3727,0,-0.012604028,0.17847763,-10.499756,4012,0
35103095,0.08005315,-0.04424013,-0.004859374,4060,0,0.0062968805,0.16002867,-10.519842,3727,0
35107040,0.085407265,-0.031106846,-0.003100379,3945,0,-0.0070409034,0.18305779,-10.454083,4060,0
35111064,0.089147344,-0.017730176,-0.0028679005,4024,0,-0.05779584,0.18756357,-10.488794,3945,0
35114884,0.090811886,-0.019859256,-0.0014990502,3820,0,-0.03563509,0.13073234,-10.637121,4024,0
35118906,0.088667616,-0.016011946,0.0029535405,4022,0,-0.038052604,0.054110046,-10.580613,3820,0
35122880,0.09554482,-0.006193241,0.007723601,3974,0,-0.068349406,0.10824974,-10.504427,4022,0
35126894,0.101816654,-0.007700646,0.009183439,4014,0,-0.031559367,0.16078536,-10.625663,3974,0
35131032,0.10589971,-0.011558156,0.0033564703,4138,0,-0.0020819698,0.095267,-10.670012,4014,0
35134913,0.113177,-0.011752809,0.00019887593,3881,0,-0.02473608,0.028851703,-10.646957,4138,0
35138902,0.10781277,-0.008507349,0.0061695855,3989,0,-0.03815257,0.05040233,-10.62351,3881,0
35142814,0.101166174,-0.0065571456,0.0036230881,3912,0,0.0010002181,0.10193345,-10.711609,3989,0
35146940,0.093940385,-0.008736975,-0.0055246605,4126,0,-0.0059507675,0.098160006,-10.8352165,3912,0
35150871,0.0835565,-0.009269118,-0.009686296,3931,0,-0.017274978,0.12320086,-10.839153,4126,0
35154781,0.06729737,-0.00056957954,-0.009472636,3910,0,-0.01985848,0.15956414,-10.731242,3931,0
35158790,0.032376606,0.004901654,-0.0067133387,4009,0,-0.0064482577,0.15657891,-10.581361,3910,0
35166579,-0.007623808,0.0013964584,-0.006286994,7789,0,0.043096766,0.117800534,-10.527713,4009,0
35170520,-0.030176131,-0.004785297,-0.008428882,3941,0,0.016790193,0.1089699,-10.4889145,7789,0
35174483,-0.03352948,-0.0061078826,-0.0032175453,3963,0,0.019129273,0.07951255,-10.507487,3941,0
35178639,-0.03020625,-0.002542026,0.00015869881,4156,0,0.024686059,0.0496835,-10.565182,3963,0
35182996,-0.02041436,0.0017978572,-0.003841522,4357,0,-0.0070231333,0.13340113,-10.656351,4156,0
35186244,0.005885025,0.0027509362,-0.0020584308,3248,0,-0.018980464,0.10305061,-10.676751,4357,0
35190535,0.029706303,0.008904883,0.0028924644,4291,0,-0.021062981,0.07227597,-10.52448,3248,0
35194208,0.04885675,0.008483963,0.002225623,3673,0,-0.0018257387,0.084238276,-10.43385,4291,0
35198209,0.073769204,-0.0012087326,0.0008457722,4001,0,-0.028963877,0.0892876,-10.428286,3673,0
35202964,0.08227946,0.003907416,0.005738549,4755,0,-0.0026653036,0.12664656,-10.4003935,4001,0
35206247,0.08519612,0.009050632,0.003614817,3283,0,-0.018493492,0.12649046,-10.319709,4755,0
35210425,0.08741282,0.0068226624,-0.0011281554,4178,0,-0.008281652,0.071443215,-10.428886,3283,0
35214419,0.08948031,0.004710286,-0.0006147536,3994,0,0.023005666,0.091075145,-10.460241,4178,0
35218262,0.097515404,0.009695208,0.0005574563,3843,0,-0.029964328,0.07876881,-10.26644,3994,0
35222172,0.11587252,0.011953347,0.0060415897,3910,0,-0.030754302,0.035836726,-8.765689,3843,0
35226298,0.16087368,0.0033336796,0.009838776,4126,0,0.029315008,0.10560758,-5.918302,3910,0
35230436,0.21708451,-0.00029363492,0.008806064,4138,0,0.05255372,0.19104023,-3.6339438,4126,0
35234472,0.2658313,-0.0016506852,0.0012569688,4036,0,-0.004904639,0.22433957,-2.4619606,4138,0
35238241,0.3146507,-0.0042388425,0.001122372,3769,0,-0.025200192,0.21370037,-1.9505799,4036,0
35242082,0.34656334,0.003734136,0.0009539702,3841,0,0.051811144,0.20493063,-1.8826388,3769,0
35246470,0.34732997,0.0025718473,-0.0066831396,4388,0,0.100396276,0.22588646,-2.0085099,3841,0
35250148,0.33927947,0.002125267,-0.001224203,3678,0,0.013989718,0.22964862,-2.0686986,4388,0
35254053,0.32183927,0.007219828,-0.002077606,3905,0,-0.012342633,0.17853545,-2.1132164,3678,0
35258216,0.28719354,0.006253936,-0.0014033592,4163,0,0.075239874,0.23398449,-2.116947,3905,0
35263059,0.21129782,0.008709476,0.008237449,4843,0,0.09327575,0.2682141,-3.42794,4163,0
35267237,0.10197772,0.0018686524,0.00849087,4178,0,0.023172872,0.16414663,-6.8920393,4843,0
35271296,0.011586247,0.0028292234,0.0019917132,4059,0,-0.040313464,0.03512396,-10.521841,4178,0
35275056,-0.04348519,0.009011269,0.002510829,3760,0,-0.012941148,-0.040530756,-12.736521,4059,0
35278992,-0.07169294,0.0026308086,0.004294777,3936,0,-0.03191947,-0.10972833,-13.7133,3760,0
35283097,-0.090223424,0.0034108255,-0.0032672072,4105,0,-0.04620805,-0.1348398,-14.007696,3936,0
35287107,-0.096981026,0.0058860043,0.00022084492,4010,0,-0.005175229,-0.09515432,-14.082684,4105,0
35291315,-0.090725616,-0.00074237416,0.0070491093,4208,0,-0.023308901,-0.120174356,-13.981805,4010,0
35294990,-0.08684951,-0.0052277977,-0.0005680534,3675,0,0.03228607,-0.15933168,-13.850828,4208,0
35298933,-0.076996006,-0.0016798455,-0.0009154886,3943,0,0.040547997,-0.15164043,-13.999865,3675,0
35303019,-0.06844889,0.0071806507,0.0056827925,4086,0,-0.03870364,-0.1626208,-14.061723,3943,0
35307041,-0.06148974,0.012816223,0.001953198,4022,0,-0.050914932,-0.10992001,-14.027772,4086,0
35311107,-0.050163187,0.010386726,0.0021245168,4066,0,0.025225667,-0.060158744,-14.158664,4022,0
35314907,-0.053203374,0.005747196,0.005582028,3800,0,0.008813108,-0.06449942,-14.074017,4066,0
35318949,-0.050216474,0.0049245707,-0.001604188,4042,0,-0.014309321,-0.04961814,-13.896701,3800,0
35322879,-0.042762406,0.00068871875,-0.006924493,3930,0,0.052434374,-0.06722231,-13.9562845,4042,0
35327000,-0.0471974,-0.0013781788,-0.0034033097,4121,0,0.017322036,-0.080852345,-13.972258,3930,0
35331052,-0.04290218,-0.0017534852,-0.0045828084,4052,0,-0.030942181,-0.08969207,-13.72136,4121,0
35334900,-0.041264083,-0.001954523,-0.0054911976,3848,0,-0.006093446,-0.114302054,-13.659353,4052,0
35338936,-0.041989293,0.0022252656,-0.0031108612,4036,0,0.016185958,-0.13513346,-13.675358,3848,0
35342914,-0.032434866,0.0034550596,-0.0028962118,3978,0,-0.0032753535,-0.1055813,-13.330841,4036,0
35346939,-0.029424697,0.0016816102,0.0010790322,4025,0,-0.00515265,0.017201558,-11.531335,3978,0
